Case;VehCat;Year;TrafficScenario;Component;RoadCat;TrafficSit;Gradient;V_weighted;EFA_weighted;AmbientCondPattern;EFA_WTT_weighted;EFA_WTW_weighted
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;FC_MJ;Urban;URB/MW-City/70/Freeflow;0%;69.43365479;1.759695053;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;FC_MJ;Urban;URB/MW-City/70/St+Go;0%;14.39977264;3.813504696;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;FC_MJ;Urban;URB/Trunk-City/50/Freeflow;0%;49.35812759;2.019207954;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;FC_MJ;Urban;URB/Trunk-City/50/St+Go;0%;12.48863125;3.862347126;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;FC_MJ;Urban;URB/Trunk-City/60/Freeflow;0%;57.2092247;2.017291784;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;FC_MJ;Urban;URB/Trunk-City/60/St+Go;0%;12.48863316;3.862196445;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;FC_MJ;Urban;URB/Distr/50/Freeflow;0%;42.95035934;2.240181208;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;FC_MJ;Urban;URB/Distr/50/St+Go;0%;12.48866653;3.862832785;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;FC_MJ;Urban;URB/Distr/60/Freeflow;0%;52.00070953;2.055955887;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;FC_MJ;Urban;URB/Distr/60/St+Go;0%;12.48833656;3.862654448;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;FC_MJ;Urban;URB/Local/50/Freeflow;0%;41.66275787;2.142549992;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;FC_MJ;Urban;URB/Local/50/St+Go;0%;12.48863316;3.863288879;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;FC_MJ;Urban;URB/Local/60/Freeflow;0%;51.16705322;2.069866657;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;FC_MJ;Urban;URB/Local/60/St+Go;0%;12.48848057;3.862644434;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;FC_MJ;Urban;URB/Access/30/Freeflow;0%;28.912714;2.39511466;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;FC_MJ;Urban;URB/Access/30/St+Go;0%;9.621914864;4.35725832;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;FC_MJ;Urban;URB/Access/40/Freeflow;0%;35.62506104;2.17903614;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;FC_MJ;Urban;URB/Access/40/St+Go;0%;11.82717037;3.857312679;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;PM;MW;RUR/MW/>130/Freeflow;0%;142.7671356;0.006298144;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;PM;MW;RUR/MW/>130/St+Go;0%;17.91503143;0.004572959;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;PM;MW;URB/MW-Nat./80/Freeflow;0%;79.03366089;0.002348739;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;PM;MW;URB/MW-Nat./80/St+Go;0%;15.47382641;0.004923108;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;PM;Urban;URB/MW-City/60/Freeflow;0%;62.73362732;0.002007029;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;PM;Urban;URB/MW-City/60/St+Go;0%;13.26994896;0.005674888;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;PM;Urban;URB/MW-City/70/Freeflow;0%;69.43365479;0.002148424;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;PM;Urban;URB/MW-City/70/St+Go;0%;14.39977264;0.00512465;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;PM;Urban;URB/Trunk-City/50/Freeflow;0%;49.35812759;0.002621636;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;PM;Urban;URB/Trunk-City/50/St+Go;0%;12.48863125;0.005200113;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;PM;Urban;URB/Trunk-City/60/Freeflow;0%;57.2092247;0.002905586;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;PM;Urban;URB/Trunk-City/60/St+Go;0%;12.48863316;0.005200097;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;PM;Urban;URB/Distr/50/Freeflow;0%;42.95035934;0.002941737;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;PM;Urban;URB/Distr/50/St+Go;0%;12.48866653;0.005199909;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;PM;Urban;URB/Distr/60/Freeflow;0%;52.00070953;0.002679287;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;PM;Urban;URB/Distr/60/St+Go;0%;12.48833656;0.005200007;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;PM;Urban;URB/Local/50/Freeflow;0%;41.66275787;0.002823106;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;PM;Urban;URB/Local/50/St+Go;0%;12.48863316;0.005200097;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;PM;Urban;URB/Local/60/Freeflow;0%;51.16705322;0.002691184;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;PM;Urban;URB/Local/60/St+Go;0%;12.48848057;0.005199975;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;PM;Urban;URB/Access/30/Freeflow;0%;28.912714;0.003510355;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;PM;Urban;URB/Access/30/St+Go;0%;9.621914864;0.005853412;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;PM;Urban;URB/Access/40/Freeflow;0%;35.62506104;0.002905131;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;PM;Urban;URB/Access/40/St+Go;0%;11.82717037;0.005279412;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;PN;MW;RUR/MW/>130/Freeflow;0%;142.7671356;3.87367E+12;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;PN;MW;RUR/MW/>130/St+Go;0%;17.91503143;4.01591E+12;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;PN;MW;URB/MW-Nat./80/Freeflow;0%;79.03366089;2.26746E+12;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;PN;MW;URB/MW-Nat./80/St+Go;0%;15.47382641;4.13175E+12;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;PN;Urban;URB/MW-City/60/Freeflow;0%;62.73362732;1.99123E+12;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;PN;Urban;URB/MW-City/60/St+Go;0%;13.26994896;5.00116E+12;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;PN;Urban;URB/MW-City/70/Freeflow;0%;69.43365479;2.12122E+12;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;PN;Urban;URB/MW-City/70/St+Go;0%;14.39977264;4.50739E+12;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;PN;Urban;URB/Trunk-City/50/Freeflow;0%;49.35812759;2.6125E+12;ØGermany;;
